,letter_id,edition,sent_count,cont_footnote_count,ed_footnote_count,footnotes_per_sentence
417,10440,04,41,24,3,0.5853658536585366
418,10441,04,13,14,1,1.0769230769230769
419,10442,04,46,68,2,1.4782608695652173
420,10443,04,18,18,0,1.0
421,10444,04,27,6,2,0.2222222222222222
422,10445,04,31,36,1,1.1612903225806452
423,10446,04,29,11,0,0.3793103448275862
424,10447,04,20,15,5,0.75
425,10448,04,19,6,3,0.3157894736842105
426,10449,04,23,18,4,0.782608695652174
427,10450,04,10,8,1,0.8
428,10451,04,13,20,0,1.5384615384615385
429,10452,04,14,9,1,0.6428571428571429
430,10453,04,13,6,0,0.46153846153846156
431,10454,04,88,74,83,0.8409090909090909
432,10455,04,21,18,1,0.8571428571428571
433,10456,04,9,11,0,1.2222222222222223
434,10457,04,29,15,4,0.5172413793103449
435,10458,04,30,23,3,0.7666666666666667
436,10459,04,42,78,4,1.8571428571428572
437,10460,04,10,6,0,0.6
438,10461,04,19,22,0,1.1578947368421053
439,10462,04,51,62,5,1.2156862745098038
440,10463,04,23,7,0,0.30434782608695654
441,10464,04,13,6,1,0.46153846153846156
442,10465,04,55,40,4,0.7272727272727273
443,10466,04,36,53,0,1.4722222222222223
444,10467,04,6,4,0,0.6666666666666666
445,10468,04,13,24,30,1.8461538461538463
446,10469,04,25,43,0,1.72
447,10470,04,53,45,13,0.8490566037735849
448,10471,04,56,27,7,0.48214285714285715
449,10472,04,33,23,4,0.696969696969697
450,10473,04,28,34,0,1.2142857142857142
451,10474,04,18,13,1,0.7222222222222222
452,10475,04,32,18,3,0.5625
453,10476,04,36,8,2,0.2222222222222222
454,10477,04,34,11,1,0.3235294117647059
455,10478,04,54,26,3,0.48148148148148145
456,10479,04,15,5,0,0.3333333333333333
457,10480,04,16,21,0,1.3125
458,10481,04,27,31,2,1.1481481481481481
459,10482,04,18,9,2,0.5
460,10483,04,27,34,0,1.2592592592592593
461,10484,04,22,10,0,0.45454545454545453
462,10485,04,23,14,2,0.6086956521739131
463,10486,04,16,15,1,0.9375
464,10487,04,39,24,5,0.6153846153846154
465,10488,04,39,56,11,1.435897435897436
466,10489,04,24,19,3,0.7916666666666666
467,10490,04,32,19,1,0.59375
468,10491,04,19,16,1,0.8421052631578947
469,10492,04,25,10,0,0.4
470,10493,04,29,23,1,0.7931034482758621
471,10494,04,26,7,0,0.2692307692307692
472,10495,04,49,85,4,1.7346938775510203
473,10496,04,19,35,3,1.8421052631578947
474,10497,04,19,6,4,0.3157894736842105
475,10498,04,19,27,17,1.4210526315789473
476,10499,04,20,16,3,0.8
477,10500,04,22,10,0,0.45454545454545453
478,10501,04,66,51,22,0.7727272727272727
479,10502,04,23,5,3,0.21739130434782608
480,10503,04,44,40,5,0.9090909090909091
481,10504,04,8,5,2,0.625
482,10505,10,10,18,2,1.8
483,10506,04,60,39,35,0.65
484,10507,04,17,16,1,0.9411764705882353
485,10508,04,15,5,2,0.3333333333333333
486,10509,04,48,19,1,0.3958333333333333
487,10510,04,20,36,4,1.8
488,10511,04,111,50,5,0.45045045045045046
489,10512,04,41,18,4,0.43902439024390244
490,10513,04,20,28,0,1.4
491,10514,04,21,16,12,0.7619047619047619
492,10515,04,19,7,3,0.3684210526315789
493,10516,04,23,17,10,0.7391304347826086
494,10517,04,18,13,0,0.7222222222222222
495,10518,04,141,67,113,0.475177304964539
496,10519,04,13,2,3,0.15384615384615385
497,10520,04,20,13,2,0.65
498,10521,04,15,7,1,0.4666666666666667
499,10522,04,41,23,1,0.5609756097560976
500,10523,04,19,20,20,1.0526315789473684
501,10524,04,16,6,2,0.375
502,10525,04,43,14,6,0.32558139534883723
503,10526,04,8,2,0,0.25
504,10527,04,6,6,5,1.0
505,10528,04,12,4,2,0.3333333333333333
506,10529,04,57,14,2,0.24561403508771928
507,10530,04,22,9,2,0.4090909090909091
508,10531,04,22,33,0,1.5
509,10532,04,22,17,6,0.7727272727272727
510,10533,04,55,38,3,0.6909090909090909
511,10534,04,16,33,0,2.0625
512,10535,04,12,25,0,2.0833333333333335
513,10536,04,13,17,0,1.3076923076923077
514,10537,05,15,10,1,0.6666666666666666
515,10538,05,189,59,22,0.31216931216931215
516,10539,05,20,10,11,0.5
517,10540,05,68,26,6,0.38235294117647056
518,10541,05,26,18,3,0.6923076923076923
519,10542,05,35,18,13,0.5142857142857142
520,10543,05,36,12,6,0.3333333333333333
521,10544,05,54,50,19,0.9259259259259259
522,10545,05,19,9,3,0.47368421052631576
523,10546,05,15,23,0,1.5333333333333334
524,10547,05,44,22,0,0.5
525,10548,05,17,1,2,0.058823529411764705
526,10549,05,13,7,2,0.5384615384615384
527,10550,05,63,17,39,0.2698412698412698
528,10551,05,27,29,5,1.0740740740740742
529,10552,05,20,6,0,0.3
530,10553,05,95,34,19,0.35789473684210527
531,10554,05,20,4,2,0.2
532,10555,05,46,21,5,0.45652173913043476
533,10556,05,14,10,0,0.7142857142857143
534,10557,05,46,20,1,0.43478260869565216
535,10558,05,77,102,19,1.3246753246753247
536,10559,05,19,5,2,0.2631578947368421
537,10560,05,29,15,0,0.5172413793103449
538,10561,05,20,24,1,1.2
539,10562,05,36,21,13,0.5833333333333334
540,10563,05,27,17,6,0.6296296296296297
541,10564,05,56,25,6,0.44642857142857145
542,10565,05,35,1,2,0.02857142857142857
543,10566,05,32,28,7,0.875
544,10567,05,15,7,1,0.4666666666666667
545,10568,05,18,9,0,0.5
546,10569,05,18,20,2,1.1111111111111112
547,10570,05,22,22,2,1.0
548,10571,05,22,24,5,1.0909090909090908
549,10572,05,25,34,1,1.36
550,10573,05,34,7,5,0.20588235294117646
551,10574,05,33,20,0,0.6060606060606061
552,10575,05,29,47,16,1.6206896551724137
553,10576,05,14,25,11,1.7857142857142858
554,10577,05,14,2,1,0.14285714285714285
555,10578,05,65,52,42,0.8
556,10579,05,12,17,0,1.4166666666666667
557,10580,05,9,10,0,1.1111111111111112
558,10581,05,21,11,4,0.5238095238095238
559,10582,05,17,15,3,0.8823529411764706
560,10583,05,18,23,0,1.2777777777777777
561,10584,05,19,8,2,0.42105263157894735
562,10585,05,36,18,2,0.5
563,10586,05,19,17,1,0.8947368421052632
564,10587,05,9,6,3,0.6666666666666666
565,10588,05,27,20,0,0.7407407407407407
566,10589,05,9,6,0,0.6666666666666666
567,10590,05,14,22,0,1.5714285714285714
568,10591,05,18,10,2,0.5555555555555556
569,10592,05,40,21,1,0.525
570,10593,05,27,10,3,0.37037037037037035
571,10594,05,28,32,0,1.1428571428571428
572,10595,05,28,12,1,0.42857142857142855
573,10596,05,9,14,0,1.5555555555555556
574,10597,05,16,12,2,0.75
575,10598,05,115,44,45,0.3826086956521739
576,10599,05,128,58,17,0.453125
577,10600,05,13,2,1,0.15384615384615385
578,10601,05,10,8,7,0.8
579,10602,05,43,22,0,0.5116279069767442
580,10603,05,43,59,4,1.372093023255814
581,10604,10,13,39,7,3.0
582,10605,10,18,25,1,1.3888888888888888
583,10606,05,19,19,1,1.0
584,10607,05,23,17,0,0.7391304347826086
585,10608,05,20,9,2,0.45
586,10609,05,20,7,0,0.35
587,10610,05,53,35,20,0.660377358490566
588,10611,05,13,6,4,0.46153846153846156
589,10612,05,21,16,6,0.7619047619047619
590,10613,05,17,6,2,0.35294117647058826
591,10614,05,16,6,0,0.375
592,10615,05,8,4,0,0.5
593,10616,05,24,24,2,1.0
594,10617,05,19,8,4,0.42105263157894735
595,10618,05,9,2,1,0.2222222222222222
596,10619,05,26,11,2,0.4230769230769231
597,10620,05,49,32,1,0.6530612244897959
598,10621,05,33,19,4,0.5757575757575758
599,10622,05,26,26,0,1.0
600,10623,05,23,16,11,0.6956521739130435
601,10624,05,11,10,0,0.9090909090909091
602,10625,05,17,9,0,0.5294117647058824
603,10626,05,14,11,0,0.7857142857142857
604,10627,05,25,7,0,0.28
605,10628,05,14,18,2,1.2857142857142858
606,10629,05,12,3,2,0.25
607,10630,05,26,8,12,0.3076923076923077
608,10631,05,17,14,1,0.8235294117647058
609,10632,05,33,14,1,0.42424242424242425
610,10633,05,26,16,4,0.6153846153846154
611,10634,05,43,54,5,1.255813953488372
612,10635,05,17,24,2,1.411764705882353
613,10636,05,15,4,1,0.26666666666666666
614,10637,05,22,13,5,0.5909090909090909
615,10638,05,31,20,2,0.6451612903225806
616,10639,05,18,6,1,0.3333333333333333
617,10640,05,20,5,3,0.25
618,10641,05,11,2,0,0.18181818181818182
619,10642,05,74,29,1,0.3918918918918919
620,10643,05,9,3,1,0.3333333333333333
621,10644,05,6,4,1,0.6666666666666666
622,10645,05,35,15,1,0.42857142857142855
623,10646,05,29,17,3,0.5862068965517241
624,10647,05,26,16,2,0.6153846153846154
625,10648,05,30,18,5,0.6
626,10649,05,17,5,4,0.29411764705882354
627,10650,05,24,7,2,0.2916666666666667
628,10651,05,28,17,4,0.6071428571428571
629,10652,05,29,14,1,0.4827586206896552
630,10653,05,19,23,3,1.2105263157894737
631,10654,05,29,32,1,1.103448275862069
632,10655,05,56,10,7,0.17857142857142858
633,10656,05,11,4,0,0.36363636363636365
634,10657,05,12,10,0,0.8333333333333334
635,10658,05,18,9,0,0.5
636,10659,05,54,26,3,0.48148148148148145
637,10660,05,82,42,31,0.5121951219512195
638,10661,05,255,94,68,0.3686274509803922
639,10662,05,18,8,0,0.4444444444444444
640,10663,05,30,11,1,0.36666666666666664
641,10664,05,15,23,0,1.5333333333333334
642,10665,05,40,36,0,0.9
643,10666,05,11,19,0,1.7272727272727273
644,10667,05,24,11,2,0.4583333333333333
645,10668,05,14,6,1,0.42857142857142855
646,10669,05,14,17,1,1.2142857142857142
647,10670,05,15,8,2,0.5333333333333333
648,10671,05,19,13,0,0.6842105263157895
649,10672,05,14,16,3,1.1428571428571428
650,10673,05,8,12,2,1.5
651,10674,05,17,5,1,0.29411764705882354
652,10675,05,23,10,0,0.43478260869565216
653,10676,05,32,12,7,0.375
654,10677,05,10,4,1,0.4
655,10678,05,23,10,2,0.43478260869565216
656,10679,05,24,16,6,0.6666666666666666
657,10680,05,40,32,7,0.8
658,10681,05,39,22,1,0.5641025641025641
659,10682,05,51,42,16,0.8235294117647058
660,10683,05,33,26,1,0.7878787878787878
661,10684,05,26,11,4,0.4230769230769231
662,10685,05,19,11,1,0.5789473684210527
663,10686,05,23,22,8,0.9565217391304348
664,10687,05,19,15,4,0.7894736842105263
